Year, Market,  Pool, AmountEmittedOrRetained
9, 301, 204, 32.2521794485859
10, 301, 204, 32.2291323270173
11, 301, 204, 31.9818686919057
12, 301, 204, 31.73650207669
13, 301, 204, 31.4930179273314
14, 301, 204, 31.2514018014508
15, 301, 204, 31.0116393674717
16, 301, 204, 30.7737164037703
17, 301, 204, 30.5376187978316
18, 301, 204, 30.3033325454129
19, 301, 204, 30.0708437497126
1, 301, 205, 1.19371233823532
2, 301, 205, 1.39287164192638
3, 301, 205, 1.70075678922865
4, 301, 205, 1.69002424209752
5, 301, 205, 2.07398270100186
6, 301, 205, 2.06080986705082
7, 301, 205, 2.04650987765862
8, 301, 205, 2.02783593610162
9, 301, 205, 2.55504822128028
10, 301, 205, 2.54946718130566
11, 301, 205, 2.52601364673723
12, 301, 205, 2.50277587030358
13, 301, 205, 2.47975186716221
14, 301, 205, 2.45693967072991
15, 301, 205, 2.43433733251487
16, 301, 205, 2.41194292195017
17, 301, 205, 2.38975452622896
18, 301, 205, 2.36777025014101
19, 301, 205, 2.34598821591088
1, 301, 206, 5.91509301603583
2, 301, 206, 6.84946659605775
3, 301, 206, 8.31478886703883
4, 301, 206, 8.18884284415664
5, 301, 206, 10.0204601589021
6, 301, 206, 9.86860484051273
7, 301, 206, 9.7133085899881
8, 301, 206, 9.5384936688377
9, 301, 206, 12.0709671790963
10, 301, 206, 11.9415964380235
11, 301, 206, 11.7257477791954
12, 301, 206, 11.5138006626578
13, 301, 206, 11.3056845666277
14, 301, 206, 11.1013302440291
15, 301, 206, 10.9006696994514
16, 301, 206, 10.7036361665259
17, 301, 206, 10.51016408571
18, 301, 206, 10.3201890824735
19, 301, 206, 10.1336479458789
1, 301, 207, 14.7159768465614
2, 301, 207, 16.9704591668596
3, 301, 207, 20.5363978221616
4, 301, 207, 20.1279174534838
5, 301, 207, 24.5932643487481
6, 301, 207, 24.1043686395175
7, 301, 207, 23.6112499336593
8, 301, 207, 23.0738506408308
9, 301, 207, 29.2762433897671
10, 301, 207, 28.8285364913922
11, 301, 207, 28.1700918079343
12, 301, 207, 27.5266860218309
13, 301, 207, 26.8979756441917
14, 301, 207, 26.2836250314235
15, 301, 207, 25.6833062060433
16, 301, 207, 25.0966986815844
17, 301, 207, 24.5234892915008
