Type, YearCreated, YearReported,  Market, FromPool, To_Gas/Pool, AmountEmitted, AmountRetained
5, 1, 16, 300, 200, 200, 0, 2.04228935546875 
5, 1, 17, 300, 200, 200, 0, 1.44411665239706 
5, 1, 18, 300, 200, 200, 0, 1.02114467773437 
5, 1, 19, 300, 200, 200, 0, 0.722058326198528 
5, 1, 1, 300, 202, 202, 0, 665.448953424564 
5, 1, 2, 300, 202, 202, 0, 470.5434675 
5, 1, 3, 300, 202, 202, 0, 332.724476712282 
5, 1, 4, 300, 202, 202, 0, 235.27173375 
5, 1, 5, 300, 202, 202, 0, 166.362238356141 
5, 1, 6, 300, 202, 202, 0, 117.635866875 
5, 1, 7, 300, 202, 202, 0, 83.1811191780705 
5, 1, 8, 300, 202, 202, 0, 58.8179334375 
5, 1, 9, 300, 202, 202, 0, 41.5905595890352 
5, 1, 10, 300, 202, 202, 0, 29.40896671875 
5, 1, 11, 300, 202, 202, 0, 20.7952797945176 
5, 1, 12, 300, 202, 202, 0, 14.704483359375 
5, 1, 13, 300, 202, 202, 0, 10.3976398972588 
5, 1, 14, 300, 202, 202, 0, 7.3522416796875 
5, 1, 15, 300, 202, 202, 0, 5.1988199486294 
5, 1, 16, 300, 202, 202, 0, 3.67612083984375 
5, 1, 17, 300, 202, 202, 0, 2.5994099743147 
5, 1, 18, 300, 202, 202, 0, 1.83806041992187 
5, 1, 19, 300, 202, 202, 0, 1.29970498715735 
5, 1, 1, 300, 201, 201, 0, 443.632635616376 
5, 1, 2, 300, 201, 201, 0, 313.695645 
5, 1, 3, 300, 201, 201, 0, 221.816317808188 
5, 1, 4, 300, 201, 201, 0, 156.8478225 
5, 1, 5, 300, 201, 201, 0, 110.908158904094 
5, 1, 6, 300, 201, 201, 0, 78.42391125 
5, 1, 7, 300, 201, 201, 0, 55.454079452047 
5, 1, 8, 300, 201, 201, 0, 39.211955625 
5, 1, 9, 300, 201, 201, 0, 27.7270397260235 
5, 1, 10, 300, 201, 201, 0, 19.6059778125 
5, 1, 11, 300, 201, 201, 0, 13.8635198630117 
5, 1, 12, 300, 201, 201, 0, 9.80298890625 
5, 1, 13, 300, 201, 201, 0, 6.93175993150587 
5, 1, 14, 300, 201, 201, 0, 4.901494453125 
5, 1, 15, 300, 201, 201, 0, 3.46587996575294 
5, 1, 16, 300, 201, 201, 0, 2.4507472265625 
